country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,composite_key
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 14:00:00,12.977872,77.570688,PM10,59.0,90.0,74.0,"City Railway Station, Bengaluru - KSPCB|PM10|2026-07-03 14:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 14:00:00,12.977872,77.570688,NO2,33.0,57.0,45.0,"City Railway Station, Bengaluru - KSPCB|NO2|2026-07-03 14:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 14:00:00,12.977872,77.570688,CO,2.0,5.0,3.0,"City Railway Station, Bengaluru - KSPCB|CO|2026-07-03 14:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 14:00:00,12.977872,77.570688,SO2,48.0,73.0,60.0,"City Railway Station, Bengaluru - KSPCB|SO2|2026-07-03 14:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 14:00:00,12.977872,77.570688,O3,15.0,36.0,25.0,"City Railway Station, Bengaluru - KSPCB|O3|2026-07-03 14:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 14:00:00,12.977872,77.570688,NH3,44.0,55.0,49.0,"City Railway Station, Bengaluru - KSPCB|NH3|2026-07-03 14:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 14:00:00,12.999674,80.201193,PM2.5,147.0,216.0,181.0,"Alandur, Chennai - TNPCB|PM2.5|2026-07-03 14:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 14:00:00,12.999674,80.201193,PM10,35.0,55.0,45.0,"Alandur, Chennai - TNPCB|PM10|2026-07-03 14:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 14:00:00,12.999674,80.201193,NO2,,36.0,22.0,"Alandur, Chennai - TNPCB|NO2|2026-07-03 14:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 14:00:00,12.999674,80.201193,CO,1.0,4.0,2.0,"Alandur, Chennai - TNPCB|CO|2026-07-03 14:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 14:00:00,12.999674,80.201193,SO2,,32.0,22.0,"Alandur, Chennai - TNPCB|SO2|2026-07-03 14:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 14:00:00,12.999674,80.201193,O3,9.0,19.0,14.0,"Alandur, Chennai - TNPCB|O3|2026-07-03 14:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 14:00:00,12.999674,80.201193,NH3,14.0,53.0,33.0,"Alandur, Chennai - TNPCB|NH3|2026-07-03 14:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 14:00:00,22.544808,88.342558,PM2.5,83.0,129.0,106.0,"Victoria, Kolkata - WBPCB|PM2.5|2026-07-03 14:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 14:00:00,22.544808,88.342558,PM10,140.0,187.0,163.0,"Victoria, Kolkata - WBPCB|PM10|2026-07-03 14:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 14:00:00,22.544808,88.342558,NO2,26.0,48.0,37.0,"Victoria, Kolkata - WBPCB|NO2|2026-07-03 14:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 14:00:00,22.544808,88.342558,CO,3.0,5.0,4.0,"Victoria, Kolkata - WBPCB|CO|2026-07-03 14:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 14:00:00,22.544808,88.342558,SO2,35.0,58.0,46.0,"Victoria, Kolkata - WBPCB|SO2|2026-07-03 14:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 14:00:00,22.544808,88.342558,NH3,6.0,37.0,21.0,"Victoria, Kolkata - WBPCB|NH3|2026-07-03 14:00:00"
